,file,class,Predicted_Values,wmc,tcc,totalMethodsQty,totalFieldsQty,loc,Predicted_Metrics,Euclidean_dist
173,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\PaletteLayout.java,CH.ifa.draw.util.PaletteLayout,none,16,0.10714286,8,3,74,[16.  0.  9.  5. 76.],[3.00191266]
174,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\PolygonTool.java,CH.ifa.draw.contrib.PolygonTool,none,22,0.16666667,11,3,75,[21.  0. 14.  2. 75.],[3.32080981]
175,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\ScribbleTool.java,CH.ifa.draw.figures.ScribbleTool,none,17,0.04761905,9,3,56,[15.  0.  9.  2. 56.],[2.23657496]
176,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StandardStorageFormat.java,CH.ifa.draw.util.StandardStorageFormat$Anonymous1,none,3,0.0,2,0,13,[ 2.  0.  2.  0. 13.],[1.]
177,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\MySelectionTool.java,CH.ifa.draw.samples.javadraw.MySelectionTool,none,5,0.0,3,0,18,[ 5.  0.  3.  0. 18.],[0.]
178,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AbstractCommand.java,CH.ifa.draw.standard.AbstractCommand$EventDispatcher,none,11,1.0,6,2,36,[10.  0.  6.  3. 36.],[1.73205081]
179,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\FigureEnumerator.java,CH.ifa.draw.standard.FigureEnumerator,none,5,0.6,5,2,19,[ 5.  1.  5.  2. 18.],[1.07703296]
180,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ToolButton.java,CH.ifa.draw.standard.ToolButton,none,20,0.114285715,15,3,82,[19.          0.35897437 14.          5.         82.        ],[2.46168084]
181,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\PolyLineLocator.java,CH.ifa.draw.figures.PolyLineLocator,none,3,1.0,2,1,13,[ 3.  0.  2.  1. 13.],[1.]
182,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\MDI_InternalFrame.java,CH.ifa.draw.contrib.MDI_InternalFrame,none,15,0.018181818,11,1,49,[15.  0.  9.  2. 50.],[2.44955722]
183,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\StandardDrawingView.java,CH.ifa.draw.standard.StandardDrawingView$ASH,none,4,0.0,4,0,14,[ 4.  0.  4.  0. 14.],[0.]
184,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\WindowMenu.java,CH.ifa.draw.contrib.WindowMenu$Anonymous4,none,2,,1,0,12,[ 2. -1.  1.  0. 12.],[1.]
185,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\WindowMenu.java,CH.ifa.draw.contrib.WindowMenu$Anonymous3,none,3,0.0,3,0,10,[ 3.  0.  3.  0. 10.],[0.]
186,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\LineFigure.java,CH.ifa.draw.figures.LineFigure,none,7,0.0,7,2,27,[ 7.  0.  6.  2. 27.],[1.]
187,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeAttributeCommand.java,CH.ifa.draw.standard.ChangeAttributeCommand$UndoActivity,none,19,0.14545454,11,3,72,[19.  0. 14.  2. 71.],[3.3198128]
188,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\WindowMenu.java,CH.ifa.draw.contrib.WindowMenu$Anonymous2,none,3,0.0,2,0,8,[2. 0. 2. 0. 8.],[1.]
189,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\WindowMenu.java,CH.ifa.draw.contrib.WindowMenu$Anonymous1,none,3,0.0,2,0,8,[2. 0. 2. 0. 8.],[1.]
190,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\GroupCommand.java,CH.ifa.draw.figures.GroupCommand,none,5,0.0,4,0,63,[ 5.  0.  5.  0. 60.],[3.16227766]
