file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\LineDecoration.java,CH.ifa.draw.figures.LineDecoration,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\PolyLineHandle.java,CH.ifa.draw.figures.PolyLineHandle,class,10,13,3,10,8,4,0,9,9,0.5,0.1,0.1,6,0,4,1,1,0,5,0,0,0,1,0,0,1,0,0,0,0,0,72,2,0,2,0,4,0,0,2,0,2,1,0,1,0,56,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\TextFigure.java,CH.ifa.draw.figures.TextFigure,class,14,26,12,14,57,3,2,59,525,0.89824563,0.12436975,0.297479,38,4,33,3,2,0,35,0,0,0,15,4,0,15,0,0,1,0,7,249,15,0,11,0,0,11,12,57,6,29,2,0,0,0,150,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\Connector.java,CH.ifa.draw.framework.Connector,interface,3,30,27,3,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\OrderedFigureElement.java,CH.ifa.draw.standard.OrderedFigureElement,class,2,4,2,2,7,1,0,1,2,0.5,0.6666667,1.0,5,0,4,1,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,26,5,0,1,0,0,0,3,3,0,3,1,0,0,0,27,0,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\applet\DrawApplet.java,CH.ifa.draw.applet.DrawApplet$Anonymous1,anonymous,1,1,0,1,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,-1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\applet\DrawApplet.java,CH.ifa.draw.applet.DrawApplet$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\applet\DrawApplet.java,CH.ifa.draw.applet.DrawApplet$Anonymous3,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,-1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoableHandle.java,CH.ifa.draw.util.UndoableHandle,class,9,11,2,9,20,1,0,21,149,0.8888889,0.013071896,0.013071896,18,0,15,0,3,0,18,0,0,0,2,0,0,2,0,0,0,0,0,63,7,0,1,0,2,0,0,3,0,3,1,0,0,0,75,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\CopyCommand.java,CH.ifa.draw.standard.CopyCommand,class,4,5,1,4,4,3,0,5,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,26,1,0
